Product_Name,Category,Description,Material,Color,Price
Nova Leather Sofa,Sofas,"Premium Leather Sofa built with high-quality wood, providing durability and a rustic look.",wood,mahogany,40816
Arden Rug,Decor,"A stylish Rug crafted from plywood with a cream finish, perfect for modern homes.",plywood,cream,20579
Haven Single Bed,Beds,"This Single Bed blends leather construction with compact design, offering comfort and style.",leather,walnut,36066
Eterna Rug,Decor,"Elegant Rug made with premium steel, featuring a mahogany finish that complements any interior.",steel,mahogany,12413
Aurora Daybed,Beds,"Elegant Daybed made with premium plywood, featuring a beige finish that complements any interior.",plywood,beige,43366
Aurora Office Desk,Office,"Elegant Office Desk made with premium glass, featuring a cherry finish that complements any interior.",glass,cherry,26838
Haven Dining Table,Dining,"Premium Dining Table built with high-quality bamboo, providing durability and a luxurious look.",bamboo,green,48520
Cresta Bunk Bed,Beds,"A versatile Bunk Bed designed for modern interiors, combining functionality and aesthetic appeal.",plywood,grey,19706
Mira Wall Art,Decor,"This Wall Art blends metal construction with compact design, offering comfort and style.",metal,walnut,9814
Nova Bar Stool,Dining,"A versatile Bar Stool designed for modern interiors, combining functionality and aesthetic appeal.",rattan,brown,5251
Solace Velvet Sofa,Sofas,"Premium Velvet Sofa built with high-quality steel, providing durability and a stylish look.",steel,walnut,22386
Cresta Patio Chair,Outdoor,"A stylish Patio Chair crafted from glass with a white finish, perfect for modern homes.",glass,white,12197
Mira Sideboard,Dining,"A modern Sideboard crafted from steel with a cream finish, perfect for modern homes.",steel,cream,15340
Haven Console Table,Tables,"A luxurious Console Table crafted from plywood with a brown finish, perfect for modern homes.",plywood,brown,19852
Vega Armchair,Chairs,"Premium Armchair built with high-quality steel, providing durability and a minimalist look.",steel,beige,44784
Aurora Dining Table,Dining,"A elegant Dining Table crafted from plywood with a cherry finish, perfect for modern homes.",plywood,cherry,13484
Eterna Velvet Sofa,Sofas,"Elegant Velvet Sofa made with premium marble, featuring a teak finish that complements any interior.",marble,teak,30538
